1 192 192
1.607149680e-01 8.392850330e-01 7.972944127e+01 1.187243494e+01 
1.710195599e-01 8.289804416e-01 7.795521291e+01 1.215912491e+01 
1.821375671e-01 8.178624350e-01 7.604664355e+01 1.247415694e+01 
1.941118069e-01 8.058881961e-01 7.400172867e+01 1.282408993e+01 
2.069815940e-01 7.930184098e-01 7.182066257e+01 1.321698116e+01 
2.207811150e-01 7.792188896e-01 6.950628004e+01 1.366250276e+01 
2.355375928e-01 7.644624123e-01 6.706447377e+01 1.417199200e+01 
2.512692834e-01 7.487307218e-01 6.450455100e+01 1.475840735e+01 
2.679833726e-01 7.320166324e-01 6.183948767e+01 1.543616188e+01 
2.856738698e-01 7.143261349e-01 5.908603472e+01 1.622080841e+01 
3.043196231e-01 6.956803808e-01 5.626463371e+01 1.712855814e+01 
3.238826086e-01 6.761173945e-01 5.339910597e+01 1.817562759e+01 
3.443066566e-01 6.556933456e-01 5.051609435e+01 1.937742567e+01 
3.655167855e-01 6.344832159e-01 4.764425738e+01 2.074761456e+01 
3.874192921e-01 6.125807087e-01 4.481324200e+01 2.229710057e+01 
4.099027120e-01 5.900972883e-01 4.205248910e+01 2.403303169e+01 
4.328397018e-01 5.671602983e-01 3.938995247e+01 2.595789304e+01 
4.560898200e-01 5.439101799e-01 3.685083155e+01 2.806879577e+01 
4.795030976e-01 5.204969022e-01 3.445642657e+01 3.035704631e+01 
5.029242078e-01 4.970757920e-01 3.222321976e+01 3.280806153e+01 
5.261969784e-01 4.738030215e-01 3.016226604e+01 3.540166191e+01 
5.491689511e-01 4.508310491e-01 2.827894510e+01 3.811273549e+01 
5.716956860e-01 4.283043147e-01 2.657308735e+01 4.091222465e+01 
5.936445381e-01 4.063554633e-01 2.503944619e+01 4.376835384e+01 
6.148976933e-01 3.851023089e-01 2.366845446e+01 4.664799307e+01 
6.353543262e-01 3.646456768e-01 2.244717857e+01 4.951804367e+01 
6.549318304e-01 3.450681732e-01 2.136037303e+01 5.234673891e+01 
6.735661511e-01 3.264338524e-01 2.039154044e+01 5.510477045e+01 
6.912113152e-01 3.087886876e-01 1.952391524e+01 5.776617813e+01 
7.078383010e-01 2.921617006e-01 1.874131025e+01 6.030897043e+01 
7.234334124e-01 2.765665876e-01 1.802878851e+01 6.271547111e+01 
7.379963269e-01 2.620036719e-01 1.737314573e+01 6.497241134e+01 
7.515379804e-01 2.484620255e-01 1.676320065e+01 6.707079624e+01 
7.640783854e-01 2.359216161e-01 1.618996253e+01 6.900563954e+01 
7.756445956e-01 2.243554033e-01 1.564656310e+01 7.077548239e+01 
7.862687385e-01 2.137312592e-01 1.512819059e+01 7.238193856e+01 
7.959862937e-01 2.040137040e-01 1.463188733e+01 7.382914633e+01 
8.048345864e-01 1.951654116e-01 1.415631310e+01 7.512323058e+01 
8.128515138e-01 1.871484843e-01 1.370148447e+01 7.627178740e+01 
8.200744971e-01 1.799255006e-01 1.326850857e+01 7.728340817e+01 
8.265396406e-01 1.734603563e-01 1.285932481e+01 7.816725318e+01 
8.322810762e-01 1.677189198e-01 1.247646337e+01 7.893267893e+01 
8.373304667e-01 1.626695286e-01 1.212282577e+01 7.958891948e+01 
